# Format:
# ID NAME
# Do not edit this file unless you know what you're doing
# (and have prepared a way to migrate save files using these IDs)

0 magic_lamp
1 winchester
2 thompson_sub-machinegun
3 screecher
4 sticky_crossbow
5 awp
6 zorgun
7 barrel
8 bow
9 dueling_pistol
10 mega_douser
12 crossbow
13 thunderclap
14 bee_hive
15 ak47
16 yari_launcher
17 heck_blaster
18 blooper
19 grenade_launcher
20 moonscraper
21 bsg
22 shadess_revolver
23 dungeon_eagle
24 dart_gun
25 m1
26 nail_gun
27 light_gun
28 mailbox
29 vertebraek47
30 m1911
31 klobbe
32 void_marshal
33 tear_jerker
35 smileys_revolver
36 megahand
37 serious_cannon
38 magnum
39 rpg
40 freeze_ray
41 heroine
42 m9
43 machine_pistol
45 skull_spitter
47 jolter
49 sniper_rifle
50 saa
51 regular_shotgun
52 crescent_crossbow
53 au_gun
54 laser_rifle
55 void_shotgun
56 38 special
57 alien_sidearm
58 void_core_assault_rifle
59 hegemony_rifle
60 demon_head
61 bundle_of_wands
62 colt1851
63 medkit
64 potion_of_lead_skin
65 knife_shield
66 proximity_mine
67 key
68 1_casing
69 bullet_time
70 5_casings
71 decoy
72 candy
73 half_heart
74 50_casings
76 unknown
77 supply_drop
78 ammo
79 makarov
80 budget_revolver
81 deck4rd
82 elephant_gun
83 unfinished_gun
84 vulcan_cannon
85 full_heart
86 marine_sidearm
87 gamma_ray
88 robots_right_hand
89 rogue_special
90 eye_of_the_beholster
91 h4mmer
92 stinger
93 old_goldie
94 mac10
95 akey47
96 m16
97 polaris
98 patriot
99 rusty_sidearm
100 unicorn_horn
102 scope
104 ration
105 fortunes_favor
106 jetpack
107 raiden_coil
108 bomb
109 ice_bomb
110 magic_sweet
111 heavy_bullets
112 cartographers_ring
113 rocket-powered_bullets
114 bionic_leg
115 ballot
116 ammo_synthesizer
118 eyepatch
119 metronome
120 armor
121 disintegrator
122 blunderbuss
123 pulse_cannon
124 cactus
125 flame_hand
126 shotbow
127 junk
128 rube-adyne_mk2
129 com4nd0
130 glacier
131 utility_belt
132 ring_of_miserly_protection
133 backpack
134 ammo_belt
135 cog_of_battle
136 c4
137 map
138 honeycomb
140 master_of_unlocking
142 rube-adyne_prototype
143 shotgun_full_of_hate
145 witch_pistol
146 dragunfire
147 placeable_key
148 lies
149 face_melter
150 t-shirt_cannon
151 the_membrane
152 the_kiln
153 shock_rifle
154 trashcannon
155 singularity
156 laser_lotus
157 big_iron
158 amulet_of_the_pit_lord
159 gundromeda_strain
160 gunknight_helmet
161 gunknight_greaves
162 gunknight_gauntlet
163 gunknight_armor
164 heart_synthesizer
165 oiled_cylinder
166 shelleton_key
167 bloody_eye
168 double_vision
169 black_hole_gun
170 ice_cube
172 ghost_bullets
173 next_gun_switch
174 potion_of_gun_friendship
175 tangler
176 gungeon_ant
177 alien_engine
178 crestfaller
179 proton_backpack
180 grasschopper
181 winchester_rifle
182 grey_mauser
183 ser_manuels_revolver
184 the_judge
186 machine_fist
187 disarming_personality
190 rolling_eye
191 ring_of_fire_resistance
193 bug_boots
196 fossilized_gun
197 pea_shooter
198 gunslingers_ashes
199 luxin_cannon
200 charmed_bow
201 portable_turret
202 sawed-off
203 cigarettes
204 irradiated_lead
205 poison_vial
206 charm_horn
207 plague_pistol
208 plunger
209 sense_of_direction
210 gunbow
212 ballistic_boots
213 lichy_trigger_finger
214 coin_crown
216 box
219 old_knights_shield
221 tutorial_ak47
222 old_knights_helm
223 cold45
224 blank
225 ice_breaker
